0.95	0.14	0.87	1.56
0.95	0.14	0.87	1.56
0.95	0.14	0.87	1.56
0.95	0.14	0.87	1.56
0.97	0.33	2.04	1.77
0.97	0.33	2.04	1.77
0.97	0.33	2.04	1.77
0.97	0.33	2.04	1.77
1.03	0.28	1.97	1.85
1.03	0.28	1.97	1.85
1.03	0.28	1.97	1.85
1.03	0.28	1.97	1.85
1.01	0.29	1.92	2.47
1.01	0.29	1.92	2.47
1.01	0.29	1.92	2.47
1.01	0.29	1.92	2.47
0.96	0.27	3.33	1.82
0.96	0.27	3.33	1.82
0.96	0.27	3.33	1.82
0.96	0.27	3.33	1.82
4.50	0.32	5.69	1.94
4.50	0.32	5.69	1.94
4.50	0.32	5.69	1.94
4.50	0.32	5.69	1.94
17.43	0.40	1.38	6.63
17.43	0.40	1.38	6.63
17.43	0.40	1.38	6.63
17.43	0.40	1.38	6.63
2.17	3.17	1.52	1.96
2.17	3.17	1.52	1.96
2.17	3.17	1.52	1.96
2.17	3.17	1.52	1.96
2.08	4.84	1.35	3.54
2.08	4.84	1.35	3.54
2.08	4.84	1.35	3.54
2.08	4.84	1.35	3.54
2.24	0.18	2.75	3.71
2.24	0.18	2.75	3.71
2.24	0.18	2.75	3.71
2.24	0.18	2.75	3.71
2.53	0.13	15.34	10.80
2.53	0.13	15.34	10.80
2.53	0.13	15.34	10.80
2.53	0.13	15.34	10.80
1.74	0.17	1.59	5.24
1.74	0.17	1.59	5.24
1.74	0.17	1.59	5.24
1.74	0.17	1.59	5.24
0.98	0.64	2.20	13.08
0.98	0.64	2.20	13.08
0.98	0.64	2.20	13.08
0.98	0.64	2.20	13.08
1.14	0.13	11.23	1.54
1.14	0.13	11.23	1.54
1.14	0.13	11.23	1.54
1.14	0.13	11.23	1.54
2.06	0.37	3.49	1.84
2.06	0.37	3.49	1.84
2.06	0.37	3.49	1.84
2.06	0.37	3.49	1.84
1.12	0.13	1.51	1.28
1.12	0.13	1.51	1.28
1.12	0.13	1.51	1.28
1.12	0.13	1.51	1.28
1.10	0.17	1.46	0.84
1.10	0.17	1.46	0.84
1.10	0.17	1.46	0.84
1.10	0.17	1.46	0.84
3.41	0.95	4.24	1.21
3.41	0.95	4.24	1.21
3.41	0.95	4.24	1.21
3.41	0.95	4.24	1.21
2.18	0.14	2.57	1.07
2.18	0.14	2.57	1.07
2.18	0.14	2.57	1.07
2.18	0.14	2.57	1.07
1.34	0.09	1.44	1.11
1.34	0.09	1.44	1.11
1.34	0.09	1.44	1.11
1.34	0.09	1.44	1.11
2.31	0.09	1.39	1.19
2.31	0.09	1.39	1.19
2.31	0.09	1.39	1.19
2.31	0.09	1.39	1.19
1.33	0.09	1.42	1.17
1.33	0.09	1.42	1.17
1.33	0.09	1.42	1.17
1.33	0.09	1.42	1.17
1.39	0.08	1.32	1.08
